Final Parameters:
a = 1.015109
b = -1.116106

Training History:
Iteration	NLL	ECE
487	0.383407	0.038613
488	0.383407	0.038721
489	0.383407	0.038897
490	0.383407	0.038726
491	0.383407	0.038804
492	0.383407	0.038862
493	0.383407	0.038884
494	0.383406	0.038857
495	0.383406	0.038728
496	0.383406	0.038738
497	0.383406	0.038773
498	0.383406	0.038854
499	0.383406	0.039012
500	0.383406	0.038963
501	0.383406	0.038863
502	0.383406	0.038770
503	0.383405	0.038907
504	0.383405	0.038915
505	0.383405	0.038797
506	0.383405	0.038752
507	0.383405	0.038662
508	0.383405	0.038848
509	0.383405	0.038857
510	0.383405	0.038925
511	0.383405	0.038983
512	0.383405	0.038915
513	0.383404	0.038865
514	0.383404	0.039012
515	0.383404	0.038934
516	0.383404	0.038927
517	0.383404	0.038961
518	0.383404	0.038790
519	0.383404	0.038773
520	0.383404	0.038768
521	0.383404	0.038722
522	0.383404	0.038644
523	0.383404	0.038664
524	0.383404	0.038587
525	0.383403	0.038341
526	0.383403	0.038275
527	0.383403	0.038282
528	0.383403	0.038330
529	0.383403	0.038285
530	0.383403	0.038245
531	0.383403	0.038325
532	0.383403	0.038255
533	0.383403	0.038178
534	0.383403	0.038172
535	0.383403	0.038224
536	0.383403	0.038257
537	0.383403	0.038298
538	0.383403	0.038207
539	0.383403	0.038206
540	0.383403	0.038197
541	0.383403	0.038189
542	0.383402	0.038186
543	0.383402	0.038263
544	0.383402	0.038262
545	0.383402	0.038245
546	0.383402	0.038328
547	0.383402	0.038188
548	0.383402	0.038047
